S_SRNUMBER1,M_RECORD_TYPE,M_RECORD_STATUS,M_CALL_RESULT,CIRCLE,Contacted / Not Contacted,Retained / Not Retained,RetainedCode,REGION,ZONE,Source,CC_REASON,CC_SUBREASON,Customer Segment,Service Segment,Customer Class
83188480,General,Updated,Answer,Andhra Pradesh,Contacted,Not Retained,,Hyderabad,Hyderabad Zone2,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Home
83188560,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Email,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Individual
83188660,General,Updated,No Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore North,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83188660,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore North,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83188662,General,Updated,Answer,Karnataka,Contacted,Flow to Field,,Bangalore,Bangalore South,Shifting Rejects,Shifting,Shifting to non-wired area,Consumer,Platinum,Home
83188662,General,Updated,Answer,Karnataka,Contacted,Flow to Field,,Bangalore,Bangalore South,Shifting Rejects,Shifting,Shifting to non-wired area,Consumer,Platinum,Home
83188666,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore North,Shifting Rejects,Shifting,Shifting to non-wired area,Consumer,GoldNew,Individual
83189018,General,Updated,Dropped on No Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Customer shifting to non wired city,Consumer,Platinum,Home
83189018,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Customer shifting to non wired city,Consumer,Platinum,Home
83189018,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Customer shifting to non wired city,Consumer,Platinum,Home
83189018,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Customer shifting to non wired city,Consumer,Platinum,Home
83189084,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Email,Shifting,Delay in Shifting,Consumer,Platinum,Individual
83189164,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore North,Voice Call,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Gold,Home
83189164,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore North,Voice Call,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Gold,Home
83189164,General,Updated,Dropped on No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore North,Voice Call,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Gold,Home
83189190,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore North,TITANIUM CC,Shifting,Customer shifting to non wired city,Consumer,Gold,Commercial
83189202,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore South,Shifting Rejects,Shifting,Shifting to non-wired area,Consumer,Platinum,Home
83189202,General,Updated,No Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore South,Shifting Rejects,Shifting,Shifting to non-wired area,Consumer,Platinum,Home
83189202,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore South,Shifting Rejects,Shifting,Shifting to non-wired area,Consumer,Platinum,Home
83189242,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,TITANIUM CC,Shifting,Shifting to non-wired area,Consumer,Platinum,Home
83189284,General,Updated,SIT RO,Tamilnadu,Contacted,Retained,,TRICHY,ERODE,Voice Call,Shifting,Shifting reject- wired area,Consumer,Platinum,Commercial
83189296,General,Updated,No Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE1,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Individual
83189394,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,Thane and Raigad,GRM,Low/No Usage,Business Downsizing / Closed,Business,Platinum,Small Enterprise
83189408,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,TITANIUM CC,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83189408,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,TITANIUM CC,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
83189412,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore North,TITANIUM CC,Competition,"Same Rental, better benefits by competition",Consumer,Platinum,Home
83189472,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Others,KPURAM,Retention,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Gold,Individual
83189472,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,KPURAM,Retention,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Gold,Individual
83189472,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Others,KPURAM,Retention,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Gold,Individual
83189510,General,Updated,Dropped on No Answer,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Shifting abroad,Consumer,Platinum,Home
